gpa_before_it,gpa_after_it,concepts_transferred_binary,skills_gained_binary,skills_effect_binary,recommend_binary,experience_rating_binary
2.94,2.76,1,1,1,1,1
3.92,4,1,1,1,1,1
3.54,3.56,1,1,1,1,1
3.32,3.47,1,1,1,1,1
2.57,3,1,1,1,1,1
2.57,2.54,1,1,1,1,1
2.4,2.49,1,1,1,1,1
3.77,4,1,1,1,1,1
3.32,3.28,1,1,1,1,1
3.5,3.36,1,1,1,1,1
2.33,2.34,1,1,1,1,1
3.95,3.86,1,1,1,1,1
3.72,4,1,1,1,1,1
2.66,3.03,1,1,1,1,1
2.61,2.85,1,1,1,1,1
2.61,3.02,1,1,1,1,1
2.82,3.18,1,1,1,1,1
3.19,3.12,1,1,1,1,1
3.03,3.46,1,1,1,1,1
2.8,2.97,1,1,1,1,1
3.94,3.87,1,1,1,1,1
3.73,3.99,1,1,1,1,1
2.86,2.89,1,1,1,1,1
3.9,3.91,1,1,1,1,1
2.96,3,1,1,1,1,1
2.85,2.96,1,1,1,1,1
3.91,3.86,1,1,1,1,1
2.95,3.08,1,1,1,1,1
3.31,3.61,1,1,1,1,1
3.23,3.47,1,1,1,1,1
2.61,3.03,1,1,1,1,1
3.79,4,1,1,1,1,1
3.11,3.26,1,1,1,1,1
3.27,3.57,1,1,1,1,1
3.12,3.24,1,1,1,1,1
3.84,4,1,1,1,1,1
2.53,2.59,1,1,1,1,1
2.53,2.87,1,1,1,1,1
2.55,2.83,1,1,1,1,1
3.95,3.95,1,1,1,1,1
2.91,3.27,1,1,1,1,1
3.78,4,1,1,1,1,1
2.67,2.8,1,1,1,1,1
3.71,4,1,1,1,1,1
2.95,3.13,1,1,1,1,1
3.4,3.54,1,1,1,1,1
2.86,2.96,1,1,1,1,1
3.22,3.49,1,1,1,1,1
3.25,3.3,1,1,1,1,1
2.6,2.87,1,1,1,1,1
3.41,3.72,1,1,1,1,1
2.64,2.97,1,1,1,1,1
3.84,4,1,1,1,1,1
3.17,3.41,1,1,1,1,1
3.98,3.99,1,1,1,1,1
2.57,2.86,1,1,1,1,1
3.41,3.67,1,1,1,1,1
3.65,3.74,1,1,1,1,1
3.6,3.85,1,1,1,1,1
3.93,3.93,1,1,1,1,1
2.86,2.94,1,1,1,1,1
3.65,3.85,1,1,1,1,1
2.95,3.02,1,1,1,1,1
2.81,3.22,1,1,1,1,1
2.48,2.78,1,1,1,1,1
2.66,2.88,1,1,1,1,1
3.86,4,1,1,1,1,1
3.27,3.3,1,1,1,1,1
3.29,3.6,1,1,1,1,1
3.84,4,1,1,1,1,1
3.61,3.94,1,1,1,1,1
3.32,3.59,1,1,1,1,1
2.99,3.12,1,1,1,1,1
3.74,4,1,1,1,1,1
3.83,4,1,1,1,1,1
2.57,3.06,1,1,1,1,1
3.85,3.94,1,1,1,1,1
3.4,3.88,1,1,1,1,1
3.12,3.45,1,1,1,1,1
3.45,3.77,1,1,1,1,1
2.84,2.92,1,1,1,1,1
2.98,3.29,1,1,1,1,1
3.98,3.9,1,1,1,1,1
3.52,3.64,1,1,1,1,1
3.56,3.79,1,1,1,1,1
3.42,3.55,1,1,1,1,1
2.54,2.94,1,1,1,1,1
3.91,4,1,1,1,1,1
3.14,3.18,1,1,1,1,1
3.29,3.47,1,1,1,1,1
3.25,3.3,1,1,1,1,1
3.59,3.91,1,1,1,1,1
3.85,3.94,1,1,1,1,1
2.85,3.09,1,1,1,1,1
2.52,2.92,1,1,1,1,1
3.31,3.35,1,1,1,1,1
2.71,2.89,1,1,1,1,1
2.96,3.2,1,1,1,1,1
2.56,2.92,1,1,1,1,1
4,3.7,0,0,0,0,0
3.92,4,0,0,0,0,0
3.54,3.56,0,0,0,0,0
3.32,3.47,0,0,0,0,0
2.57,3,0,0,0,0,0
2.57,2.54,0,0,0,0,0
2.4,2.49,0,0,0,1,1
3.77,4,0,0,0,1,1
3.32,3.28,0,0,0,1,1
3.5,3.36,0,0,0,1,1
2.33,2.34,0,1,1,1,1
3.95,3.86,0,1,1,1,1
3.72,4,0,1,1,1,1
2.66,3.03,0,1,1,1,1
2.61,2.85,0,1,1,1,1
2.61,3.02,1,0,0,0,0
2.82,3.18,1,0,0,0,0
3.19,3.12,1,0,0,0,0
3.03,3.46,1,0,0,0,0
2.8,2.97,1,0,1,1,0
3.94,3.87,1,0,1,1,0
3.73,3.99,1,0,1,1,0
2.86,2.89,1,0,1,1,0
3.9,3.91,1,1,0,0,1
2.96,3,1,1,0,0,1
2.85,2.96,1,1,0,0,1
3.91,3.86,1,1,0,1,1
2.95,3.08,1,1,0,1,1
3.31,3.61,1,1,0,1,1
3.23,3.47,1,1,0,1,1
2.61,3.03,1,1,0,1,1
3.79,4,1,1,1,0,0
3.11,3.26,1,1,1,0,0
3.27,3.57,1,1,1,0,0
3.12,3.24,1,1,1,0,0
3.84,4,1,1,1,1,0
2.53,2.59,1,1,1,1,0
2.53,2.87,1,1,1,1,0
2.55,2.83,1,1,1,1,0
3.95,3.95,1,1,1,1,1
2.91,3.27,1,1,1,1,1
