gpa_before_it,gpa_after_it
2.94,2.76
3.92,4.00
3.54,3.56
3.32,3.47
2.57,3.00
2.57,2.54
2.40,2.49
3.77,4.00
3.32,3.28
3.50,3.36
2.33,2.34
3.95,3.86
3.72,4.00
2.66,3.03
2.61,2.85
2.61,3.02
2.82,3.18
3.19,3.12
3.03,3.46
2.80,2.97
3.94,3.87
3.73,3.99
2.86,2.89
3.90,3.91
2.96,3.00
2.85,2.96
3.91,3.86
2.95,3.08
3.31,3.61
3.23,3.47
2.61,3.03
3.79,4.00
3.11,3.26
3.27,3.57
3.12,3.24
3.84,4.00
2.53,2.59
2.53,2.87
2.55,2.83
3.95,3.95
2.91,3.27
3.78,4.00
2.67,2.80
3.71,4.00
2.95,3.13
3.40,3.54
2.86,2.96
3.22,3.49
3.25,3.30
2.60,2.87
3.41,3.72
2.64,2.97
3.84,4.00
3.17,3.41
3.98,3.99
2.57,2.86
3.41,3.67
3.65,3.74
3.60,3.85
3.93,3.93
2.86,2.94
3.65,3.85
2.95,3.02
2.81,3.22
2.48,2.78
2.66,2.88
3.86,4.00
3.27,3.30
3.29,3.60
3.84,4.00
3.61,3.94
3.32,3.59
2.99,3.12
3.74,4.00
3.83,4.00
2.57,3.06
3.85,3.94
3.40,3.88
3.12,3.45
3.45,3.77
2.84,2.92
2.98,3.29
3.98,3.90
3.52,3.64
3.56,3.79
3.42,3.55
2.54,2.94
3.91,4.00
3.14,3.18
3.29,3.47
3.25,3.30
3.59,3.91
3.85,3.94
2.85,3.09
2.52,2.92
3.31,3.35
2.71,2.89
2.96,3.20
2.56,2.92
4.00,3.70
